Student ID,Year,Subject,Course,Semester,Consent,CAT Score
10056804,2013,PHYS,104,1,3,
10086869,2013,PHYS,104,1,3,
10085513,2013,PHYS,104,1,3,
10086132,2013,PHYS,104,1,3,
10107539,2013,PHYS,104,1,3,
10101423,2013,PHYS,104,1,3,
10093849,2013,PHYS,104,1,3,14
10096338,2013,PHYS,104,1,3,
10083732,2013,PHYS,104,1,3,
10091358,2013,PHYS,104,1,3,
10090841,2013,PHYS,104,1,3,
10093120,2013,PHYS,104,1,3,
10075311,2013,PHYS,104,1,3,
10093025,2013,PHYS,104,1,3,
10122065,2013,PHYS,104,1,3,
